Nationality
afghan
åland island
albanian
algerian
american samoan
andorran
angolan
anguillan
antarctic
antiguan 
barbudan
argentine
armenian
aruban
australian
austrian
azerbaijani
azeri
bahamian
bahraini
bangladeshi
barbadian
belarusian
belgian
belizean
beninese
beninois
bermudian
bermudan
bhutanese
bolivian
bonaire
bosnian
herzegovinian
bosnian herzegovinian
motswana
botswanan
bouvet island
brazilian
biot
bruneian
bulgarian
burkinabé
burundian
cabo verdean
cambodian
cameroonian
canadian
caymanian
central african
chadian
chilean
chinese
christmas island
cocos island
colombian
comoran
comorian
congolese
congolese
cook island
costa rican
ivorian
croatian
cuban
curaçaoan
cypriot
czech
danish
djiboutian
dominican
dominican
ecuadorian
egyptian
salvadoran
equatorial guinean
equatoguinean
eritrean
estonian
ethiopian
falkland island
faroese
fijian
finnish
french
french guianese
french polynesian
french southern territories
gabonese
gambian
georgian
german
ghanaian
gibraltar
greek
hellenic
greenlandic
grenadian
guadeloupe
guamanian
guambat
guatemalan
channel island
guinean
bissau-guinean
guyanese
haitian
heard island
mcdonald islands
vatican
honduran
hong kong
hong kongese
hungarian
magyar
icelandic
indian
indonesian
iranian
persian
iraqi
irish
manx
israeli
italian
jamaican
japanese
channel island
jordanian
kazakhstani
kazakh
kenyan
i-kiribati
north korean
south korean
kuwaiti
kyrgyzstani
kyrgyz
kirgiz
kirghiz
lao
laotian
latvian
lebanese
basotho
liberian
libyan
liechtenstein
lithuanian
luxembourg
luxembourgish
macanese
chinese
macedonian
malagasy
malawian
malaysian
maldivian
malian
malinese
maltese
marshallese
martiniquais
martinican
mauritanian
mauritian
mahoran
mexican
micronesian
moldovan
monégasque
monacan
mongolian
montenegrin
montserratian
moroccan
mozambican
burmese
namibian
nauruan
nepali
nepalese
dutch
netherlandic
new caledonian
new zealand
nz
nicaraguan
nigerien
nigerian
niuean
norfolk island
northern marianan
norwegian
omani
pakistani
palauan
palestinian
panamanian
papua new guinean
papuan
paraguayan
peruvian
philippine
filipino
pitcairn island
polish
portuguese
puerto rican
qatari
réunionese
réunionnais
romanian
russian
rwandan
barthélemois
saint helenian
kittitian
nevisian
saint lucian
saint-martinoise
saint-pierrais
miquelonnais
saint vincentian
vincentian
samoan
sammarinese
são toméan
saudi
saudi arabian
senegalese
serbian
seychellois
sierra leonean
singaporean
sint maarten
slovak
slovenian
solomon island
somali
south african
south georgia
south sandwich islands
south sudanese
spanish
sri lankan
sudanese
surinamese
svalbard
swazi
swedish
swiss
syrian
chinese
taiwanese
tajikistani
tanzanian
thai
timorese
togolese
tokelauan
tongan
trinidadian
tobagonian
tunisian
turkish
turkmen
turks
caicos island
tuvaluan
ugandan
ukrainian
emirati
emirian
emiri
british
american
american
uruguayan
uzbekistani
uzbek
ni-vanuatu
vanuatuan
venezuelan
vietnamese
british virgin island
u.s. virgin island
wallis and futuna
wallisian
futunan
sahrawi
sahrawian
sahraouian
yemeni
zambian
zimbabwean
